Domain: mk-beta.ru, Feature: dns_zone_entropy, SHAP Value: 0.50
Domain: hkoptimize.com, Feature: dns_zone_entropy, SHAP Value: 0.43
Domain: du.padubicklykraj.cz, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: www.adtaginformer.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: johnrosen1.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: www.vysocinaconvention.cz, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: www.qqgametimes.com, Feature: rdap_registrar_name_hash, SHAP Value: 0.00
Domain: checkmytrip.app.link, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: theplace.bz, Feature: rdap_registrar_name_hash, SHAP Value: 0.00
Domain: natureapi.com, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: rentreediscount.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: nasscom-live.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: tracker.fastdownload.xyz, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: mailstream-central.mxrecord.mx, Feature: dns_ttl_low, SHAP Value: 0.00
